"field",79,"field","field"
"fund",79,"fund","fund"
"intern",79,"intern","intern"
"photo",79,"photo","photo"
"simpli",79,"simpli","simpli"
"site",79,"site","site"
"teacher",79,"teacher","teacher"
"term",79,"term","term"
"voic",79,"voic","voic"
"won",79,"won","won"
"action",78,"action","action"
"beat",78,"beat","beat"
"celebr",78,"celebr","celebr"
"concern",78,"concern","concern"
"definit",78,"definit","definit"
"protect",78,"protect","protect"
"race",78,"race","race"
"research",78,"research","research"
"cup",77,"cup","cup"
"men",77,"men","men"
"realiz",77,"realiz","realiz"
"space",77,"space","space"
"spent",77,"spent","spent"
"track",77,"track","track"
"travel",77,"travel","travel"
"washington",77,"washington","washington"
"attack",76,"attack","attack"
"focus",76,"focus","focus"
"phone",76,"phone","phone"
"produc",76,"produc","produc"
"wine",76,"wine","wine"
"worri",76,"worri","worri"
"america",75,"america","america"
"averag",75,"averag","averag"
"brought",75,"brought","brought"
"d",75,"d","d"
"dead",75,"dead","dead"
"ground",75,"ground","ground"
"investig",75,"investig","investig"
"reach",75,"reach","reach"
"video",75,"video","video"
"economi",74,"economi","economi"
"fine",74,"fine","fine"
"hey",74,"hey","hey"
"inspir",74,"inspir","inspir"
"jersey",74,"jersey","jersey"
"judg",74,"judg","judg"
"lose",74,"lose","lose"
"plant",74,"plant","plant"
"pull",74,"pull","pull"
"town",74,"town","town"
"west",74,"west","west"
"comment",73,"comment","comment"
"fail",73,"fail","fail"
"father",73,"father","father"
"fear",73,"fear","fear"
"file",73,"file","file"
"gift",73,"gift","gift"
"republican",73,"republican","republican"
"roll",73,"roll","roll"
"sell",73,"sell","sell"
"sort",73,"sort","sort"
"wall",73,"wall","wall"
"war",73,"war","war"
"hospit",72,"hospit","hospit"
"sens",72,"sens","sens"
"treat",72,"treat","treat"
"accept",71,"accept","accept"
"bag",71,"bag","bag"
"becam",71,"becam","becam"
"effort",71,"effort","effort"
"fill",71,"fill","fill"
"havent",71,"havent","havent"
"lie",71,"lie","lie"
"particular",71,"particular","particular"
"san",71,"san","san"
"situat",71,"situat","situat"
"staff",71,"staff","staff"
"associ",70,"associ","associ"
"awesom",70,"awesom","awesom"
"carri",70,"carri","carri"
"longer",70,"longer","longer"
"onlin",70,"onlin","onlin"
"tast",70,"tast","tast"
"theyr",70,"theyr","theyr"
"type",70,"type","type"
"yeah",70,"yeah","yeah"
"clean",69,"clean","clean"
"common",69,"common","common"
"dark",69,"dark","dark"
"dinner",69,"dinner","dinner"
"jump",69,"jump","jump"
"leader",69,"leader","leader"
"mile",69,"mile","mile"
"push",69,"push","push"
"round",69,"round","round"
"simpl",69,"simpl","simpl"
"statement",69,"statement","statement"
"what",69,"what","what"
"agenc",68,"agenc","agenc"
"discuss",68,"discuss","discuss"
"entir",68,"entir","entir"
"mix",68,"mix","mix"
"wednesday",68,"wednesday","wednesday"
"account",67,"account","account"
"exact",67,"exact","exact"
"huge",67,"huge","huge"
"imagin",67,"imagin","imagin"
"improv",67,"improv","improv"
"insid",67,"insid","insid"
"june",67,"june","june"
"kick",67,"kick","kick"
"land",67,"land","land"
"ticket",67,"ticket","ticket"
"whose",67,"whose","whose"
"anyway",66,"anyway","anyway"
"fair",66,"fair","fair"
"hurt",66,"hurt","hurt"
"limit",66,"limit","limit"
"paint",66,"paint","paint"
"review",66,"review","review"
"studi",66,"studi","studi"
"weve",66,"weve","weve"
"angel",65,"angel","angel"
"attend",65,"attend","attend"
"budget",65,"budget","budget"
"democrat",65,"democrat","democrat"
"earlier",65,"earlier","earlier"
"media",65,"media","media"
"polici",65,"polici","polici"
"propos",65,"propos","propos"
"restaur",65,"restaur","restaur"
"wife",65,"wife","wife"
"wont",65,"wont","wont"
"assist",64,"assist","assist"
"campaign",64,"campaign","campaign"
"crazi",64,"crazi","crazi"
"email",64,"email","email"
"employe",64,"employe","employe"
"energi",64,"energi","energi"
"sister",64,"sister","sister"
"sorri",64,"sorri","sorri"
"apart",63,"apart","apart"
"attempt",63,"attempt","attempt"
"career",63,"career","career"
"cleveland",63,"cleveland","cleveland"
"council",63,"council","council"
"critic",63,"critic","critic"
"execut",63,"execut","execut"
"express",63,"express","express"
"felt",63,"felt","felt"
"garden",63,"garden","garden"
"hell",63,"hell","hell"
"king",63,"king","king"
"memori",63,"memori","memori"
"select",63,"select","select"
"worth",63,"worth","worth"
"yesterday",63,"yesterday","yesterday"
"cloth",62,"cloth","cloth"
"econom",62,"econom","econom"
"enter",62,"enter","enter"
"except",62,"except","except"
"financi",62,"financi","financi"
"gone",62,"gone","gone"
"holiday",62,"holiday","holiday"
"individu",62,"individu","individu"
"industri",62,"industri","industri"
"interview",62,"interview","interview"
"led",62,"led","led"
"middl",62,"middl","middl"
"region",62,"region","region"
"role",62,"role","role"
"scene",62,"scene","scene"
"senior",62,"senior","senior"
"shes",62,"shes","shes"
"style",62,"style","style"
"websit",62,"websit","websit"
"arm",61,"arm","arm"
"attent",61,"attent","attent"
"choic",61,"choic","choic"
"cross",61,"cross","cross"
"describ",61,"describ","describ"
"drug",61,"drug","drug"
"exampl",61,"exampl","exampl"
"explain",61,"explain","explain"
"known",61,"known","known"
"medic",61,"medic","medic"
"previous",61,"previous","previous"
"ride",61,"ride","ride"
"trade",61,"trade","trade"
"began",60,"began","began"
"born",60,"born","born"
"easi",60,"easi","easi"
"floor",60,"floor","floor"
"foot",60,"foot","foot"
"glad",60,"glad","glad"
"held",60,"held","held"
"juli",60,"juli","juli"
"press",60,"press","press"
"reader",60,"reader","reader"
"similar",60,"similar","similar"
"throw",60,"throw","throw"
"anim",59,"anim","anim"
"award",59,"award","award"
"club",59,"club","club"
"combin",59,"combin","combin"
"danc",59,"danc","danc"
"elect",59,"elect","elect"
"fresh",59,"fresh","fresh"
"gonna",59,"gonna","gonna"
"hair",59,"hair","hair"
"hill",59,"hill","hill"
"initi",59,"initi","initi"
"michael",59,"michael","michael"
"ok",59,"ok","ok"
"per",59,"per","per"
"period",59,"period","period"
"privat",59,"privat","privat"
"publish",59,"publish","publish"
"relationship",59,"relationship","relationship"
"schedul",59,"schedul","schedul"
"seat",59,"seat","seat"
"titl",59,"titl","titl"
"afternoon",58,"afternoon","afternoon"
"amount",58,"amount","amount"
"approach",58,"approach","approach"
"bowl",58,"bowl","bowl"
"christma",58,"christma","christma"
"commit",58,"commit","commit"
"contract",58,"contract","contract"
"cultur",58,"cultur","cultur"
"date",58,"date","date"
"doubl",58,"doubl","doubl"
"dr",58,"dr","dr"
"forget",58,"forget","forget"
"link",58,"link","link"
"messag",58,"messag","messag"
"sad",58,"sad","sad"
"wed",58,"wed","wed"
"welcom",58,"welcom","welcom"
"announc",57,"announc","announc"
"arriv",57,"arriv","arriv"
"artist",57,"artist","artist"
"bake",57,"bake","bake"
"biggest",57,"biggest","biggest"
"block",57,"block","block"
"california",57,"california","california"
"central",57,"central","central"
"exist",57,"exist","exist"
"immedi",57,"immedi","immedi"
"invest",57,"invest","invest"
"la",57,"la","la"
"mark",57,"mark","mark"
"ohio",57,"ohio","ohio"
"owner",57,"owner","owner"
"respect",57,"respect","respect"
"sing",57,"sing","sing"
"spot",57,"spot","spot"
"beyond",56,"beyond","beyond"
"cancer",56,"cancer","cancer"
"coffe",56,"coffe","coffe"
"ice",56,"ice","ice"
"lake",56,"lake","lake"
"notic",56,"notic","notic"
"option",56,"option","option"
"perhap",56,"perhap","perhap"
"properti",56,"properti","properti"
"regular",56,"regular","regular"
"shoot",56,"shoot","shoot"
"straight",56,"straight","straight"
"tradit",56,"tradit","tradit"
"worker",56,"worker","worker"
"administr",55,"administr","administr"
"choos",55,"choos","choos"
"count",55,"count","count"
"husband",55,"husband","husband"
"laugh",55,"laugh","laugh"
"main",55,"main","main"
"met",55,"met","met"
"plus",55,"plus","plus"
"popular",55,"popular","popular"
"promis",55,"promis","promis"
"search",55,"search","search"
"sport",55,"sport","sport"
"stick",55,"stick","stick"
"super",55,"super","super"
"suppos",55,"suppos","suppos"
"tour",55,"tour","tour"
"trust",55,"trust","trust"
"weather",55,"weather","weather"
"alon",54,"alon","alon"
"billion",54,"billion","billion"
"box",54,"box","box"
"chicken",54,"chicken","chicken"
"doctor",54,"doctor","doctor"
"dollar",54,"dollar","dollar"
"firm",54,"firm","firm"
"insur",54,"insur","insur"
"lunch",54,"lunch","lunch"
"poor",54,"poor","poor"
"recip",54,"recip","recip"
"refer",54,"refer","refer"
"smile",54,"smile","smile"
"stage",54,"stage","stage"
"yard",54,"yard","yard"
"articl",53,"articl","articl"
"couldnt",53,"couldnt","couldnt"
"difficult",53,"difficult","difficult"
"dri",53,"dri","dri"
"egg",53,"egg","egg"
"fit",53,"fit","fit"
"honor",53,"honor","honor"
"kept",53,"kept","kept"
"leg",53,"leg","leg"
"lower",53,"lower","lower"
"mayor",53,"mayor","mayor"
"most",53,"most","most"
"partner",53,"partner","partner"
"portland",53,"portland","portland"
"remov",53,"remov","remov"
"romney",53,"romney","romney"
"seek",53,"seek","seek"
"struggl",53,"struggl","struggl"
"wouldnt",53,"wouldnt","wouldnt"
"writer",53,"writer","writer"
"appar",52,"appar","appar"
"b",52,"b","b"
"cream",52,"cream","cream"
"hall",52,"hall","hall"
"higher",52,"higher","higher"
"host",52,"host","host"
"januari",52,"januari","januari"
"jesus",52,"jesus","jesus"
"kitchen",52,"kitchen","kitchen"
"ladi",52,"ladi","ladi"
"murder",52,"murder","murder"
"rang",52,"rang","rang"
"remind",52,"remind","remind"
"risk",52,"risk","risk"
"stock",52,"stock","stock"
"tabl",52,"tabl","tabl"
"tv",52,"tv","tv"
"warm",52,"warm","warm"
"whatev",52,"whatev","whatev"
"absolut",51,"absolut","absolut"
"appli",51,"appli","appli"
"cake",51,"cake","cake"
"chicago",51,"chicago","chicago"
"construct",51,"construct","construct"
"data",51,"data","data"
"east",51,"east","east"
"facebook",51,"facebook","facebook"
"fruit",51,"fruit","fruit"
"immigr",51,"immigr","immigr"
"item",51,"item","item"
"leagu",51,"leagu","leagu"
"letter",51,"letter","letter"
"marriag",51,"marriag","marriag"
"pain",51,"pain","pain"
"size",51,"size","size"
"technolog",51,"technolog","technolog"
"upon",51,"upon","upon"
"appreci",50,"appreci","appreci"
"approv",50,"approv","approv"
"bought",50,"bought","bought"
"catch",50,"catch","catch"
"chief",50,"chief","chief"
"credit",50,"credit","credit"
"david",50,"david","david"
"decad",50,"decad","decad"
"expens",50,"expens","expens"
"locat",50,"locat","locat"
"measur",50,"measur","measur"
"onto",50,"onto","onto"
"pound",50,"pound","pound"
"senat",50,"senat","senat"
"seven",50,"seven","seven"
"societi",50,"societi","societi"
"subject",50,"subject","subject"
"tie",50,"tie","tie"
"william",50,"william","william"
"wrote",50,"wrote","wrote"
"album",49,"album","album"
"arrest",49,"arrest","arrest"
"chees",49,"chees","chees"
"contact",49,"contact","contact"
"flavor",49,"flavor","flavor"
"gain",49,"gain","gain"
"grade",49,"grade","grade"
"repres",49,"repres","repres"
"rise",49,"rise","rise"
"union",49,"union","union"
"camera",48,"camera","camera"
"camp",48,"camp","camp"
"cold",48,"cold","cold"
"corpor",48,"corpor","corpor"
"due",48,"due","due"
"faith",48,"faith","faith"
"fell",48,"fell","fell"
"glass",48,"glass","glass"
"haha",48,"haha","haha"
"inch",48,"inch","inch"
"independ",48,"independ","independ"
"key",48,"key","key"
"lord",48,"lord","lord"
"m",48,"m","m"
"mike",48,"mike","mike"
"mountain",48,"mountain","mountain"
"potenti",48,"potenti","potenti"
"reduc",48,"reduc","reduc"
"safe",48,"safe","safe"
"secret",48,"secret","secret"
"slight",48,"slight","slight"
"teach",48,"teach","teach"
"tip",48,"tip","tip"
"tire",48,"tire","tire"
"touch",48,"touch","touch"
"basic",47,"basic","basic"
"brand",47,"brand","brand"
"breath",47,"breath","breath"
"emerg",47,"emerg","emerg"
"engin",47,"engin","engin"
"extrem",47,"extrem","extrem"
"fish",47,"fish","fish"
"googl",47,"googl","googl"
"grand",47,"grand","grand"
"ha",47,"ha","ha"
"impress",47,"impress","impress"
"internet",47,"internet","internet"
"low",47,"low","low"
"pack",47,"pack","pack"
"quarter",47,"quarter","quarter"
"ran",47,"ran","ran"
"recommend",47,"recommend","recommend"
